source,target,relation,source_label,target_label
prof::Appius Aemilius Cicero,ent::academic_org::Brown University,studied_at,Appius Aemilius Cicero,Brown University
prof::Appius Aemilius Cicero,ent::academic_org::E,studied_at,Appius Aemilius Cicero,E
prof::Appius Aemilius Cicero,ent::academic_org::Electrical Engineering,studied_at,Appius Aemilius Cicero,Electrical Engineering
prof::Appius Aemilius Cicero,ent::academic_org::Ie Business School,studied_at,Appius Aemilius Cicero,Ie School Of Business
prof::Appius Aemilius Cicero,ent::academic_org::Kent State University,studied_at,Appius Aemilius Cicero,Kent State University
prof::Appius Aemilius Cicero,ent::academic_org::Youngstown State University,studied_at,Appius Aemilius Cicero,Youngstown State University
prof::Appius Aemilius Cicero,ent::location::##On,worked_in,Appius Aemilius Cicero,##On
prof::Appius Aemilius Cicero,ent::location::##Teelis,worked_in,Appius Aemilius Cicero,##Teelis
prof::Appius Aemilius Cicero,ent::location::Black Belt,worked_in,Appius Aemilius Cicero,Black Belt
prof::Appius Aemilius Cicero,ent::location::G. E.,worked_in,Appius Aemilius Cicero,G. E.
prof::Appius Aemilius Cicero,ent::location::Hallib,worked_in,Appius Aemilius Cicero,Hallib
ent::location::Us,prof::Appius Aemilius Crassus,located_in,Us,Appius Aemilius Crassus
ent::location::Us,prof::Appius Domitius Brutus,worked_in,Us,Appius Domitius Brutus
ent::location::Usa,prof::Flavia Prisca,located_in,Usa,Flavia Prisca
ent::location::Usa,prof::Appius Antonius Lepidus,located_in,Usa,Appius Antonius Lepidus
ent::location::Usa,prof::Appius Calpurnius Paullus,located_in,Usa,Appius Calpurnius Paullus
ent::location::Usa,prof::Pompeia Prisca,located_in,Usa,Pompeia Prisca
ent::location::Usa,prof::Appius Cornelius Lepidus,located_in,Usa,Appius Cornelius Lepidus
ent::location::Usa,prof::Appius Domitius Brutus,located_in,Usa,Appius Domitius Brutus
ent::location::Usa,prof::Appius Fabius Drusus,located_in,Usa,Appius Fabius Drusus
ent::location::Usa,prof::Appius Horatius Sulla,located_in,Usa,Appius Horatius Sulla
ent::location::Usa,prof::Antonia Drusa,located_in,Usa,Antonia Drusa
ent::location::Usa,prof::Appius Aemilius Scipio,worked_in,Usa,Appius Aemilius Scipio
ent::academic_org::Brown University,prof::Appius Cornelius Lepidus,studied_at,Brown University,Appius Cornelius Lepidus
ent::academic_org::E,prof::Appius Domitius Flaccus,studied_at,E,Appius Domitius Flaccus
ent::academic_org::Ie Business School,prof::Appius Aemilius Severus,studied_at,Ie School Of Business,Appius Aemilius Severus
ent::academic_org::Ie Business School,prof::Appius Cornelius Cicero,studied_at,Ie School Of Business,Appius Cornelius Cicero
ent::academic_org::Ie Business School,prof::Appius Domitius Brutus,studied_at,Ie School Of Business,Appius Domitius Brutus
ent::academic_org::Ie Business School,prof::Appius Domitius Flaccus,studied_at,Ie School Of Business,Appius Domitius Flaccus
ent::academic_org::Ie Business School,prof::Appius Fabius Crassus,studied_at,Ie School Of Business,Appius Fabius Crassus
ent::academic_org::Ie Business School,prof::Appius Horatius Drusus,studied_at,Ie School Of Business,Appius Horatius Drusus
ent::academic_org::Ie Business School,prof::Appius Horatius Naso,studied_at,Ie School Of Business,Appius Horatius Naso
ent::academic_org::Ie Business School,prof::Appius Horatius Paullus,studied_at,Ie School Of Business,Appius Horatius Paullus
ent::academic_org::Ie Business School,prof::Appius Licinius Cicero,studied_at,Ie School Of Business,Appius Licinius Cicero
ent::academic_org::Ie Business School,prof::Appius Cornelius Lepidus,studied_at,Ie School Of Business,Appius Cornelius Lepidus
prof::Appius Aemilius Crassus,ent::location::##Lles,located_in,Appius Aemilius Crassus,##Lles
prof::Appius Aemilius Crassus,ent::location::##Ruges,located_in,Appius Aemilius Crassus,##Ruges
prof::Appius Aemilius Crassus,ent::location::B,located_in,Appius Aemilius Crassus,B
prof::Appius Aemilius Crassus,ent::location::Belgium,located_in,Appius Aemilius Crassus,Belgium
prof::Appius Aemilius Crassus,ent::location::Brussels,located_in,Appius Aemilius Crassus,Brussels
prof::Appius Aemilius Crassus,ent::location::Madrid,located_in,Appius Aemilius Crassus,Madrid
prof::Appius Aemilius Crassus,ent::location::San Pablo,located_in,Appius Aemilius Crassus,San Pablo
prof::Appius Aemilius Crassus,ent::corporate_org::##Nmc,worked_at,Appius Aemilius Crassus,##Nmc
prof::Appius Aemilius Crassus,ent::corporate_org::Bird & Bird Law Firm,worked_at,Appius Aemilius Crassus,Bird & Bird Law Firm
prof::Appius Aemilius Crassus,ent::corporate_org::C,worked_at,Appius Aemilius Crassus,C
